model,model_label,tensor_name,checkpoint_file,layer_index,component,subcomponent,numel,mean,std,rms,abs_mean
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.2.self_attn.o_proj.weight,,2.0,attention,o_proj,802816,-7.793676104483893e-07,0.0151099180802702,0.0151099087670445,0.0110839661210775
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.2.mlp.gate_proj.weight,,2.0,mlp,gate_proj,4358144,2.92212516797008e-05,0.023740841075778,0.0237408559769392,0.0186321791261434
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.2.mlp.up_proj.weight,,2.0,mlp,up_proj,4358144,-9.105971003009472e-06,0.0172966849058866,0.0172966849058866,0.0135107282549142
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.2.mlp.down_proj.weight,,2.0,mlp,down_proj,4358144,2.0804698124266e-06,0.0169791486114263,0.0169791467487812,0.0132749760523438
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.2.input_layernorm.weight,,2.0,norm,input_layernorm,896,0.9054096937179564,0.3984229266643524,0.9891058206558228,0.9078794717788696
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.2.post_attention_layernorm.weight,,2.0,norm,post_attention_layernorm,896,1.1277596950531006,0.2782924473285675,1.161551594734192,1.1277596950531006
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.self_attn.q_proj.weight,,3.0,attention,q_proj,802816,3.992757410742343e-05,0.0229566842317581,0.0229567028582096,0.016217403113842
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.self_attn.q_proj.bias,,3.0,attention,q_proj,896,-0.1280649304389953,1.5538928508758545,1.5582966804504397,0.8084924221038818
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.self_attn.k_proj.weight,,3.0,attention,k_proj,114688,0.0001029645864036,0.0297905877232551,0.0297906380146741,0.0219080466777086
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.self_attn.k_proj.bias,,3.0,attention,k_proj,128,0.1203527450561523,2.997896671295166,2.9885873794555664,1.3485536575317385
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.self_attn.v_proj.weight,,3.0,attention,v_proj,114688,-3.210903378203511e-05,0.0160487703979015,0.0160487331449985,0.0123324133455753
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.self_attn.v_proj.bias,,3.0,attention,v_proj,128,0.046252816915512,0.2635152637958526,0.2665278911590576,0.1432879269123077
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.self_attn.o_proj.weight,,3.0,attention,o_proj,802816,1.3040810699749272e-05,0.0161935035139322,0.0161934997886419,0.011868517845869
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.mlp.gate_proj.weight,,3.0,mlp,gate_proj,4358144,3.324110366520472e-05,0.0226065386086702,0.022606560960412,0.0177367180585861
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.mlp.up_proj.weight,,3.0,mlp,up_proj,4358144,7.575668405479519e-06,0.0174359194934368,0.0174359194934368,0.0137250684201717
