model,model_label,layer_index,component,mean_std,std_std,median_std,mean_rms,std_rms,median_rms,mean_fro_norm,std_fro_norm,median_fro_norm,mean_abs_mean,std_abs_mean,median_abs_mean,tensor_count
Qwen/Qwen2.5-0.5B-Instruct,0.5B,0,all,3.390920205585038,8.99049653449519,0.0448934733867645,3.4451983459293842,9.003320418636102,0.0448934650048613,71.08223871086237,107.83383978119008,32.6002500074987,1.7914105069357902,4.595981921511372,0.0299220066517591,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,0,attention,5.769729415620012,11.17949284307778,0.0667406097054481,5.784330443878259,11.215086959001916,0.0667405724525451,100.73331583083018,132.8233817113441,27.29455704993488,2.957549941992121,5.735742951304091,0.0419846549630165,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,0,mlp,0.019819774975379265,0.00228187430643982,0.018255466595292,0.0198197805633147,0.002281884841534075,0.0182554647326469,41.376107333698286,4.76370118351415,38.11041528898831,0.015458765750129931,0.0017033238997767144,0.0144311971962451,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,0,norm,0.1217386163771152,0.029277559369802496,0.1217386163771152,0.39630385115742683,0.2984590344130993,0.39630385115742683,11.862665856721174,8.933851606089528,11.862665856721174,0.37385009601712227,0.3043202869594097,0.37385009601712227,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,1,all,1.7191627097781748,5.067007581537817,0.03464328963309525,1.8216625726781785,5.044388261064861,0.03464323654770845,39.770274266262966,52.80444018521215,28.39260368440626,0.6583518860085557,1.4673805469622572,0.02601680718362325,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,1,attention,2.856820729295058,6.394888317210617,0.0405636467039585,2.8583945272756472,6.395637481828141,0.0405634678900241,43.412216150182246,68.53991062568076,13.737068588973784,0.8806162976792881,1.8566169172872913,0.0305743999779224,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,1,mlp,0.01910644397139547,0.0029465215276918153,0.0170484874397516,0.019106542070706636,0.002946661569289491,0.0170484855771064,39.8871386576626,6.151500263967375,35.59070529877698,0.014993700819710833,0.0022430032872019358,0.0134781980887055,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,1,norm,0.2874440401792526,0.03547392785549161,0.2874440401792526,0.8969347774982452,0.14035269618034363,0.8969347774982452,26.848181085446008,4.201213619334572,26.848181085446008,0.8454637229442596,0.160790354013443,0.8454637229442596,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,2,all,1.1673412398279956,3.2746109384599706,0.031278226524591404,1.286760410061106,3.2441475763788925,0.03127817250788205,33.822178796203126,33.486752434533926,29.981215565109757,0.6457689663705727,1.3303539049327062,0.0231087133288383,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,2,attention,1.8961946899071338,4.1338831571457115,0.036929864436388,1.8903501168159502,4.119991361416483,0.0369297713041305,31.48190668538513,43.332186232451384,13.538478255271873,0.8097386494545,1.6714313409552186,0.0275852475315332,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,2,mlp,0.0193388915310303,0.0031153466549169403,0.0172966849058866,0.019338895877202333,0.003115354143599197,0.0172966849058866,40.37220437300933,6.5036657200247205,36.1088503930153,0.015139294477800469,0.002471716967376659,0.0135107282549142,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,2,norm,0.33835768699645996,0.060065239667892456,0.33835768699645996,1.0753287076950073,0.08622288703918457,1.0753287076950073,32.1880928188568,2.5809320175931187,32.1880928188568,1.017819583415985,0.10994011163711548,1.017819583415985,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,3,all,0.4876398791869481,0.8670490875379506,0.0263736359775066,0.6138133768302699,0.9061622874978397,0.02637367043644185,27.172652398213483,15.097225744707771,32.90976036138415,0.38738443950812024,0.5197672749578953,0.019822382368147352,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,3,attention,0.7000420474048171,1.071909507250041,0.0297905877232551,0.6997716464102268,1.0693891426859605,0.0297906380146741,19.153527275355792,14.760104667846596,14.50937581062314,0.33752291250441757,0.4922792899781845,0.0219080466777086,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,3,mlp,0.019138187790910366,0.0024526327500667224,0.0174359194934368,0.01913819399972753,0.002452644180349136,0.0174359194934368,39.95321575716951,5.120181251922218,36.39951886033948,0.0150056748340527,0.0019323834008152085,0.0137250684201717,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,3,norm,0.4469848275184631,0.0193844735622406,0.4469848275184631,1.2049722075462341,0.13567620515823364,1.2049722075462341,36.06874528978136,4.061231001918092,36.06874528978136,1.1204679310321808,0.13654467463493364,1.1204679310321808,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,4,all,0.4813121003098786,0.7756739299051784,0.025033876299858003,0.6100582162228724,0.8190378552174771,0.02503385767340655,28.009089387830013,16.34740545969432,30.452402367836356,0.3831778625802447,0.4934065673250667,0.0188479041680693,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,4,attention,0.6925194199596133,0.9446042569698622,0.0270064938813447,0.6918669143425566,0.9433763583209839,0.027006447315216,20.344211465303548,17.425869575431438,15.900011777877786,0.3291534697636962,0.44332530066978193,0.0202780161052942,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,4,mlp,0.01936417010923223,0.002254260193096767,0.0179299935698509,0.019364176938931135,0.0022542686510451395,0.0179299972951412,40.42498154277965,4.706049159660112,37.43096399108718,0.015016182015339467,0.0017068963093050211,0.0140261938795447,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,4,norm,0.43500837683677673,0.09313812851905823,0.43500837683677673,1.209768831729889,0.06014794111251831,1.209768831729889,36.212323884248164,1.8004239053031874,36.212323884248164,1.1245057582855225,0.09858214855194092,1.1245057582855225,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,5,all,0.3572807388069729,0.5466705171329155,0.0249677402898669,0.5109773894461492,0.6731640130193676,0.02496776729822155,27.312729603079305,17.838692777815254,27.316054206245845,0.36679621785879135,0.4982736572591715,0.0188359078019857,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,5,attention,0.46933908361409393,0.6683040921668125,0.0255922432988882,0.4690434115805796,0.6677802450913726,0.0255922973155975,17.54410387379884,17.065236481022254,10.404160626331535,0.24778331789587224,0.3168999572186964,0.018861873075366,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,5,mlp,0.019387717048327067,0.003509554458458761,0.0171499010175466,0.019387722015380835,0.0035095506970070607,0.0171499028801918,40.474134640476706,7.326597076518505,35.802425766849304,0.0150629039853811,0.002659873357887941,0.0134760309010744,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,5,norm,0.471916064620018,0.03896971046924591,0.471916064620018,1.3951308131217957,0.08804076910018921,1.3951308131217957,41.760812099464815,2.635347152327853,41.760812099464815,1.3109413385391235,0.10770761966705322,1.3109413385391235,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,6,all,0.3840986768094201,0.590123750642161,0.025613373145461048,0.5255610304884613,0.6696674026498988,0.02561337873339645,27.105450749532178,16.884591069402813,26.733918811406546,0.3827607089964052,0.47571662313630425,0.019038562662899453,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,6,attention,0.5429004531885896,0.7174200736618064,0.0282870791852474,0.5433437488973141,0.7180472785113622,0.0282870475202798,18.610839035473813,17.403940667126825,13.620750110619417,0.31714371724852486,0.3826087125925972,0.0209759753197431,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,6,mlp,0.01944853675862147,0.0017961635226737488,0.0184252839535474,0.0194485404839118,0.001796162296115945,0.0184252895414829,40.60110029853583,3.7496986263507943,38.46494441689042,0.015153101334969166,0.0013946096210893193,0.014445973560214,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,6,norm,0.37526766955852503,0.015979722142219543,0.37526766955852503,1.2224902510643005,0.12291544675827015,1.2224902510643005,36.593117425230965,3.6792599144936062,36.593117425230965,1.1638315916061401,0.13276898860931396,1.1638315916061401,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,7,all,0.37876847557102633,0.7255568918956852,0.0253596836701035,0.5309920723860463,0.8055931173296577,0.02535963058471675,28.484837836458677,21.399215401454068,28.25437928517164,0.3542858079696695,0.49283561165115786,0.01878601592034095,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,7,attention,0.5317861057285751,0.9075046226474298,0.0278554242104291,0.5347898519997085,0.9143156503940323,0.0278553143143653,20.484619212326045,25.014713386394504,9.433373999020576,0.2496471322540726,0.36820198283896827,0.0206072721630334,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,7,mlp,0.019398794819911264,0.0013208564408587788,0.0188010428100824,0.019398814067244467,0.0013208828306274008,0.0188010409474372,40.49729059454969,2.757497218533194,39.24936937325597,0.014986182873447699,0.0010409925104587707,0.0146555639803409,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,7,norm,0.3822612911462784,0.020869329571723966,0.3822612911462784,1.2850897312164307,0.0816570520401001,1.2850897312164307,38.46692388378637,2.4442616955841956,38.46692388378637,1.2294706106185913,0.07654011249542236,1.2294706106185913,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,8,all,2.416229670867324,6.8118067620639575,0.02896882034838195,2.5596649216798446,6.833094446196482,0.028968876227736452,51.23703755293204,72.49848332635437,37.08966399348409,0.7483318625794103,1.388728166223763,0.021466080099344198,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,8,attention,3.9893438949116637,8.576932283141074,0.0321825705468654,4.017308013247592,8.641452074889454,0.032182689756155,59.49062900505553,94.02206396672874,15.412377119064306,0.9447376121367727,1.7282266787136935,0.0240782741457223,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,8,mlp,0.019558947533369,0.0015676021106348953,0.0188486464321613,0.019558974231282833,0.001567640574277339,0.0188486464321613,40.83164364738318,3.2726328354016756,39.34875138403681,0.0150208612903952,0.0011674745337083012,0.0146246096119284,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,8,norm,0.5053359717130661,0.045921698212623596,0.5053359717130661,1.2680730223655703,0.051931679248809814,1.2680730223655703,37.95755832882315,1.5544844101510762,37.95755832882315,1.1608782410621643,0.07669466733932495,1.1608782410621643,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,9,all,0.4287830640872319,0.748836916135771,0.0235297260805964,0.5709232239363095,0.8709779314985332,0.0235297307372093,29.621211801633777,22.908265380695845,28.89381182615527,0.3574436396981279,0.5421463109140486,0.0166979162022471,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,9,attention,0.5068244173058442,0.9158434616697451,0.0244420077651739,0.5068243952201945,0.9159426276400147,0.0244420263916254,19.838350251635095,25.39921914633054,8.277442991451935,0.19968753081879445,0.31637509746928916,0.0174987502396106,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,9,mlp,0.019067882249752602,0.0010654336262522356,0.018717736005783,0.019067933162053366,0.0010654986358623302,0.0187177378684282,39.80653805043733,2.2243528771932985,39.07546446410255,0.014636714321871533,0.0008673559821992327,0.0145280929282307,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,9,norm,0.7702111005783081,0.19788080453872675,0.7702111005783081,1.6230520606040955,0.19264918565750133,1.6230520606040955,48.583237853423846,5.766617988570992,48.583237853423846,1.4238004088401794,0.11274880170822144,1.4238004088401794,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,10,all,0.41372801441078383,0.6311096358240196,0.022930535487830597,0.5507445846063396,0.7711114800324177,0.02293049637228245,28.60331403256281,19.690325454848963,27.94752420677993,0.36694805859588087,0.528655195446704,0.0171216903254389,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,10,attention,0.4771955494901964,0.7530148731935895,0.0244257282465696,0.477486121601292,0.7542014641403646,0.0244256593286991,18.20744967219945,19.580755067918684,11.002852900506117,0.22307215484657456,0.31337802739603987,0.0181305687874555,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,10,mlp,0.01911678910255427,0.0015588239534118904,0.0185236949473619,0.019116912037134132,0.001558979548184229,0.018523696810007,39.9087871740314,3.2545519316245755,38.67038108617452,0.014589230219523033,0.0011613481082765526,0.0143585875630378,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,10,norm,0.7835084795951843,0.1441166996955872,0.7835084795951843,1.6045907139778137,0.1532544493675233,1.6045907139778137,48.03062958163167,4.587405140255733,48.03062958163167,1.3990519642829895,0.09597426652908325,1.3990519642829895,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,11,all,0.4372766804881394,0.6997710403969636,0.0220237364992499,0.5932943103834987,0.8721457913800353,0.02202369738370175,29.720026246321783,22.64153040530411,27.94253164627556,0.37905607333717245,0.58810340404271,0.01518115168437355,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,11,attention,0.48775963565068586,0.8285545527349684,0.0234115812927484,0.4922128583171538,0.8388105959078755,0.023411501199007,18.81214378067807,23.000482900222302,8.250582770795594,0.19448958789663656,0.2868692521372447,0.0155401779338717,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,11,mlp,0.018625964721043834,0.0006252628177073511,0.018529612571001,0.018626003836592003,0.0006253119414642911,0.018529612571001,38.88395895599249,1.3054117286726765,38.682730928346906,0.014223230692247499,0.000528156490423561,0.014310329221189,3
