model,model_label,component,tensor_count,mean_std,std_std,median_std,mean_rms,std_rms,median_rms,mean_fro_norm,std_fro_norm,median_fro_norm,mean_abs_mean,std_abs_mean,median_abs_mean
Qwen/Qwen2.5-0.5B-Instruct,0.5B,all,290,0.7029156693482194,2.7687321563968927,0.0236826706677675,0.8822222609105038,2.82069281603463,0.02368263993412255,33.560502000359115,38.20510616978615,32.460685899300316,0.5170356212858239,1.277204034890574,0.0176421822980046
Qwen/Qwen2.5-0.5B-Instruct,0.5B,attention,168,1.0319559870321038,3.5890199923135433,0.02569082938134665,1.0341590425786784,3.601370446666697,0.02569081820547575,25.04774865853538,44.740776800982,12.884201649418893,0.44583230650252,1.4762619921079463,0.01902159024029965
Qwen/Qwen2.5-0.5B-Instruct,0.5B,mlp,72,0.019502497304023918,0.0017477844407114474,0.019254893064498853,0.019502520173167146,0.0017478064937635016,0.019254893995821448,40.71378920592983,3.6487502398663785,40.196840632268355,0.015079743616903772,0.0013608191030116724,0.01479818113148205
Qwen/Qwen2.5-0.5B-Instruct,0.5B,norm,49,0.5930103880106187,0.35582401891442567,0.4594142735004425,1.646659295929938,0.9207230451783239,1.4831715822219849,49.28987934492984,27.560241465315784,44.39615925179267,1.5090363337373247,0.8974404519955437,1.4060102701187134
Qwen/Qwen2.5-0.5B-Instruct,0.5B,embedding,1,0.0152494711801409,0.0,0.0152494711801409,0.0152495577931404,0.0,0.0152495577931404,177.92689474168873,0.0,177.92689474168873,0.0119807869195938,0.0,0.0119807869195938
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,338,0.5317698488805509,3.801366719145353,0.0312220845371484,0.6530795101759702,3.8105407651854857,0.031222090125083847,54.710506489819046,70.43256355530555,42.34093396925775,0.35716885265469905,1.4095396431363432,0.023849155753850902
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,196,0.8073585902777861,4.971100758819085,0.03323042951524249,0.8079861086242053,4.974699175675982,0.03323045372962945,35.49775649701169,79.77467827375692,20.883583389964137,0.31962649693370476,1.7921774276296671,0.02501811087131495
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,84,0.02819192546996328,0.001779217986627491,0.027916756458580452,0.028191949019119804,0.0017792577757396691,0.027916771359741653,104.58627953803027,6.60067705774863,103.56542753567935,0.02202705493462932,0.0014599229295132162,0.02176982257515185
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,57,0.3351177843777757,0.19021411219761183,0.2732637226581573,1.0523049758191694,0.4254368823698674,0.9904454946517944,41.241763912780094,16.673652473066294,38.8173772789661,0.9860611918725466,0.4112076937820831,0.922468900680542
Qwen/Qwen2.5-1.5B-Instruct,1.5B,embedding,1,0.0260897781699895,0.0,0.0260897781699895,0.0260898098349571,0.0,0.0260898098349571,398.56289592153485,0.0,398.56289592153485,0.0205182470381259,0.0,0.0205182470381259
Qwen/Qwen2.5-3B-Instruct,3B,all,434,0.3259700814772758,0.9237743321595293,0.0284032821655273,0.4385329799078542,0.9622475415894657,0.02840327937155955,57.61025756922431,47.13900340372133,50.027963812446814,0.2794855854813061,0.4794458497394269,0.02170204557478425
Qwen/Qwen2.5-3B-Instruct,3B,attention,252,0.4670584136767993,1.1847150898066867,0.0300667285919189,0.4673554291505189,1.1838558963037364,0.03006673790514465,34.025206045785545,28.479868345422084,24.145475981935093,0.21150297066566373,0.4576212430203962,0.022198470309376647
Qwen/Qwen2.5-3B-Instruct,3B,mlp,108,0.025038748522530505,0.004073498447191624,0.02620696183294055,0.02503876790783743,0.0040735017242058665,0.026207011193037,118.88639036136726,19.34136367668693,124.43331774024236,0.019042152178439232,0.004416738777884834,0.02034753095358605
Qwen/Qwen2.5-3B-Instruct,3B,norm,73,0.28827108697940224,0.1512497882583922,0.2496811300516128,0.9564553025650652,0.37448862098846303,0.9268410801887512,43.28422594211767,16.947420376201027,41.944039224558765,0.9030449508804165,0.37095113797744406,0.8527485132217407
Qwen/Qwen2.5-3B-Instruct,3B,embedding,1,0.024320924654603,0.0,0.024320924654603,0.024321112781763,0.0,0.024321112781763,429.0212087031386,0.0,429.0212087031386,0.0191616415977478,0.0,0.0191616415977478
Qwen/Qwen2.5-7B-Instruct,7B,all,339,0.5270705354347781,2.7048341582752973,0.018624035641551,0.6369950094708079,2.717414531612357,0.0186240840703248,74.49382033428694,74.8385855568773,59.576770782470504,0.31361311321918767,0.7365014356049596,0.0142558785155415
Qwen/Qwen2.5-7B-Instruct,7B,attention,196,0.8054297047914291,3.5272870593620227,0.020236512646079,0.8056985372392347,3.529747928364183,0.020236517302691902,50.608275689964074,81.51627192133844,31.41089884025802,0.27021406835648326,0.844621704806275,0.0151121728122234
Qwen/Qwen2.5-7B-Instruct,7B,mlp,84,0.016397309456286646,0.0011482586321460684,0.0164784966036677,0.016397317106436358,0.0011482661245453066,0.016478497534990248,135.11160049713783,9.461552330598291,135.7805158788288,0.012749476846130077,0.0012380403579258217,0.012945079710334501
Qwen/Qwen2.5-7B-Instruct,7B,norm,57,0.3405232490285447,0.18627610205113374,0.2968405783176422,0.9933601756367767,0.519036844889775,0.930791974067688,59.469015022374485,31.072928715034667,55.72327464512422,0.9168829063051626,0.5157158633991984,0.8506396412849426
Qwen/Qwen2.5-7B-Instruct,7B,embedding,1,0.0136410146951675,0.0,0.0136410146951675,0.0136410165578126,0.0,0.0136410165578126,318.45197137278166,0.0,318.45197137278166,0.0105302697047591,0.0,0.0105302697047591
Qwen/Qwen2.5-7B-Instruct,7B,lm_head,1,0.0118491696193814,0.0,0.0118491696193814,0.0118492469191551,0.0,0.0118492469191551,276.62278868261166,0.0,276.62278868261166,0.0090759992599487,0.0,0.0090759992599487
Qwen/Qwen2.5-32B-Instruct,32B,all,771,0.2067063218740633,0.3812055292094211,0.0244828071445226,0.2743818128349238,0.41474147713012927,0.0244854688644409,108.90660118084995,96.74997510576125,67.26202068762358,0.18101558648563207,0.2727219480058158,0.0190076064318418
Qwen/Qwen2.5-32B-Instruct,32B,attention,448,0.2971979856478616,0.47436935444637,0.0253381114453077,0.2972568746346432,0.4744679326656302,0.02533811330795285,62.29182866671315,39.24338035760461,57.39563857646894,0.147929992779869,0.24600438602633248,0.0193224353715777
Qwen/Qwen2.5-32B-Instruct,32B,mlp,192,0.021789101547862285,0.0032853158976677696,0.02246796432882545,0.021789105219795556,0.0032853137114065675,0.0224679755046963,259.24252153352995,39.08802137501035,267.31958769464813,0.017028426661757547,0.0032498934724077113,0.01778526511043305
Qwen/Qwen2.5-32B-Instruct,32B,norm,129,0.17059900412379306,0.07637344656053183,0.1522691994905471,0.5748735818752023,0.24111664231207755,0.5503560900688171,41.13460504133579,17.25290248692184,39.380276135195906,0.5425872593656067,0.24362114784413136,0.5181832313537598
Qwen/Qwen2.5-32B-Instruct,32B,embedding,1,0.0175005737692117,0.0,0.0175005737692117,0.0175005737692117,0.0,0.0175005737692117,488.3154588911285,0.0,488.3154588911285,0.0134249553084373,0.0,0.0134249553084373
Qwen/Qwen2.5-32B-Instruct,32B,lm_head,1,0.0175969917327165,0.0,0.0175969917327165,0.0175970215350389,0.0,0.0175970215350389,491.0066240866257,0.0,491.0066240866257,0.0137410825118422,0.0,0.0137410825118422
