model,model_label,family,component,param_kind,tensor_count,total_numel,mean_std,std_std,median_std,min_std,max_std,mean_rms,std_rms,median_rms,min_rms,max_rms,mean_fro_norm,std_fro_norm,median_fro_norm,min_fro_norm,max_fro_norm,mean_abs_mean,std_abs_mean,median_abs_mean,min_abs_mean,max_abs_mean
Qwen/Qwen2.5-0.5B-Instruct,0.5B,down_proj.weight,mlp,weight,24,104595456,0.018194722787787464,0.0008273987144548726,0.0181264597922563,0.016670012846589,0.0200067143887281,0.018194723719110045,0.0008273975074482818,0.01812645792961115,0.0166700258851051,0.0200067162513732,37.983611327277934,1.7272889559221778,37.84109851667931,34.80062647889799,41.766357420922944,0.01401258628660187,0.0006577981619258778,0.013910644687712151,0.0129027385264635,0.0157180838286876
Qwen/Qwen2.5-0.5B-Instruct,0.5B,embed_tokens.weight,embedding,weight,1,136134656,0.0152494711801409,0.0,0.0152494711801409,0.0152494711801409,0.0152494711801409,0.0152495577931404,0.0,0.0152495577931404,0.0152495577931404,0.0152495577931404,177.92689474168873,0.0,177.92689474168873,177.92689474168873,177.92689474168873,0.0119807869195938,0.0,0.0119807869195938,0.0119807869195938,0.0119807869195938
Qwen/Qwen2.5-0.5B-Instruct,0.5B,gate_proj.weight,mlp,weight,24,104595456,0.021379392671709213,0.00132346150606539,0.02119609061628575,0.0193564724177122,0.0243432372808456,0.02137945918366309,0.0013234559950524127,0.02119611948728555,0.0193564761430025,0.0243432372808456,44.63211866013331,2.762868999875397,44.24937562563747,40.40890523164794,50.81935167568284,0.01645245934681341,0.001151510983827405,0.01613384485244745,0.0146145587787032,0.0188099425286054
Qwen/Qwen2.5-0.5B-Instruct,0.5B,input_layernorm.weight,norm,weight,24,21504,0.7453604604428014,0.42368647527230874,0.6351670026779175,0.0924610570073127,1.8950051069259644,1.5536036308233936,0.5298356644954346,1.6660622954368591,0.0978448167443275,2.558823585510254,46.504420011113325,15.85970822268498,49.87067435637498,2.928814250631645,76.5939293614066,1.342292042138676,0.4008262453383201,1.5380818843841553,0.0695298090577125,1.7831922769546509
Qwen/Qwen2.5-0.5B-Instruct,0.5B,k_proj.bias,attention,bias,24,3072,4.639224735399087,8.340658416651673,1.0536001920700073,0.6570684313774109,32.34426498413086,4.649183886746566,8.372934416061147,1.0566349625587463,0.6568687558174133,32.44931411743164,52.599511252827625,94.72893926443301,11.954459956225332,7.431621625409015,367.12208091661256,1.9298570044338703,3.3934246773149814,0.6903232336044312,0.3699877262115478,16.603591918945312
Qwen/Qwen2.5-0.5B-Instruct,0.5B,k_proj.weight,attention,weight,24,2752512,0.02758126263506706,0.012232628924756543,0.02429830934852355,0.0184102356433868,0.0805969014763832,0.027581233453626387,0.012232584452578065,0.024298470467328998,0.0184102170169353,0.0805966630578041,9.340554825050953,4.142640173198943,8.228826892262392,6.234733543621147,27.29455704993488,0.019895061074445598,0.007551365364979593,0.0175668634474277,0.0133691243827342,0.0503253191709518
Qwen/Qwen2.5-0.5B-Instruct,0.5B,norm.weight,norm,weight,1,896,1.10426926612854,0.0,1.10426926612854,1.10426926612854,1.10426926612854,7.224123954772949,0.0,7.224123954772949,7.224123954772949,7.224123954772949,216.24157406677426,0.0,216.24157406677426,216.24157406677426,216.24157406677426,7.139348030090332,0.0,7.139348030090332,7.139348030090332,7.139348030090332
Qwen/Qwen2.5-0.5B-Instruct,0.5B,o_proj.weight,attention,weight,24,19267584,0.018029463128186717,0.0020185292552233627,0.01791945844888685,0.0131290163844823,0.0219790302217006,0.018029457773081906,0.002018525925969225,0.017919457517564248,0.0131290201097726,0.0219790153205394,16.154394164681392,1.808599229668426,16.055833935737567,11.76360201835625,19.693197727203305,0.013262670564775621,0.0016306333766673302,0.0131558482535183,0.0094796065241098,0.0167607143521308
Qwen/Qwen2.5-0.5B-Instruct,0.5B,post_attention_layernorm.weight,norm,weight,24,21504,0.41935786232352257,0.12136667635368273,0.42077489197254175,0.1510161757469177,0.6439486145973206,1.5073206002513568,0.3547001258411523,1.4334749579429626,0.6947628855705261,2.399854898452759,45.11901806533617,10.617330767545551,42.908577321142005,20.7965174628107,71.83547846385113,1.4411843046545982,0.3611611728698491,1.3143921494483948,0.678170382976532,2.36297607421875
Qwen/Qwen2.5-0.5B-Instruct,0.5B,q_proj.bias,attention,bias,24,21504,2.170587639013926,1.2661077091799204,1.9776613712310789,1.014592528343201,7.857029438018799,2.176100348432859,1.2653722649364678,1.9806820750236516,1.0140984058380127,7.854114532470703,65.13777554460124,37.87671585694726,59.288269734903864,30.35527032895583,235.09924525590054,0.9608310585220655,0.6398514351332089,0.8526275455951691,0.6204277276992798,3.9795894622802734
