model,model_label,component,tensor_count,total_numel,weighted_mean_std,mean_std,min_std,max_std,weighted_mean_rms,weighted_mean_abs
Qwen/Qwen2.5-32B-Instruct,32B,all,771,32763876352,0.021648560950975913,0.2067063218740633,0.0035677736159414053,3.288727045059204,0.021656717953775828,0.016899215086653076
Qwen/Qwen2.5-32B-Instruct,32B,attention,448,4026990592,0.022260870624457852,0.2971979856478616,0.005564537830650806,3.288727045059204,0.022260899617596464,0.017223205629809925
Qwen/Qwen2.5-32B-Instruct,32B,embedding,1,778567680,0.01750057376921177,0.01750057376921177,0.01750057376921177,0.01750057376921177,0.01750057376921177,0.013424955308437347
Qwen/Qwen2.5-32B-Instruct,32B,lm_head,1,778567680,0.01759699173271656,0.01759699173271656,0.01759699173271656,0.01759699173271656,0.017597021535038948,0.01374108251184225
Qwen/Qwen2.5-32B-Instruct,32B,mlp,192,27179089920,0.021789101547862327,0.021789101547862327,0.0035677736159414053,0.024522706866264343,0.0217891052197956,0.017028426661757596
Qwen/Qwen2.5-32B-Instruct,32B,norm,129,660480,0.17059900412379309,0.17059900412379309,0.017926646396517754,0.49138835072517395,0.5748735818752023,0.5425872593656067
