model,model_label,layer_index,component,mean_rms,std_rms,mean_fro_norm,std_fro_norm,mean_tensor_std,std_tensor_std
Qwen/Qwen2.5-1.5B-Instruct,1.5B,0,all,6.079121239017695,18.960467711920337,142.58974887788318,292.0246396982876,6.026772953414668,18.96129437165493
Qwen/Qwen2.5-1.5B-Instruct,1.5B,0,attention,10.274001189108406,23.95866269265295,195.1074386397279,371.92656610297126,10.266951723024249,23.941234964698122
Qwen/Qwen2.5-1.5B-Instruct,1.5B,0,mlp,0.027688532446821467,0.002223855764348008,102.71870854041096,8.250043317850126,0.027688524375359166,0.0022238446440459854
Qwen/Qwen2.5-1.5B-Instruct,1.5B,0,norm,0.4741904735565185,0.011259019374847412,18.584395217635038,0.44126163955977304,0.1847739033401012,0.0718155689537525
Qwen/Qwen2.5-1.5B-Instruct,1.5B,1,all,1.0677703904608886,2.635755818641897,60.10186747846879,46.89520989327854,0.966335721158733,2.641766299467663
Qwen/Qwen2.5-1.5B-Instruct,1.5B,1,attention,1.5635986948119742,3.3354572405352734,45.98863483556074,46.93873605022839,1.562050951378686,3.331780675472675
Qwen/Qwen2.5-1.5B-Instruct,1.5B,1,mlp,0.0296127293258905,0.0018911374386829187,109.85707958896938,7.015727386311143,0.0296126498530308,0.0018910277052706524
Qwen/Qwen2.5-1.5B-Instruct,1.5B,1,norm,0.8896078169345856,0.4857217967510224,34.865363562896036,19.036328943805515,0.28641702234745026,0.01918981969356537
Qwen/Qwen2.5-1.5B-Instruct,1.5B,2,all,0.45459101007630426,0.6536900655226726,50.05755733767418,36.00339109672863,0.34079967672005296,0.6169035657305715
Qwen/Qwen2.5-1.5B-Instruct,1.5B,2,attention,0.507695896551013,0.7605216917560318,29.66462687911055,16.12626034649202,0.5077656520796674,0.7608917480490792
Qwen/Qwen2.5-1.5B-Instruct,1.5B,2,mlp,0.028925871476531,0.0031397389543882776,107.30897952723602,11.64777985861822,0.028925757855176898,0.0031395796154252724
Qwen/Qwen2.5-1.5B-Instruct,1.5B,2,norm,0.9072216153144836,0.2300911545753479,35.55568065830422,9.017694768599254,0.22422964125871653,0.00027173012495045057
Qwen/Qwen2.5-1.5B-Instruct,1.5B,3,all,0.34891706984490156,0.47257147904663827,48.20432291451536,37.31650513621824,0.2495386116206646,0.4244003018511504
Qwen/Qwen2.5-1.5B-Instruct,1.5B,3,attention,0.36126276132251534,0.525400650247764,28.28445176921614,18.47850326545409,0.3606932344181197,0.523969158364215
Qwen/Qwen2.5-1.5B-Instruct,1.5B,3,mlp,0.028648732230067166,0.004210359797469436,106.28085044393043,15.619560975907708,0.028648652136325767,0.004210245193675104
Qwen/Qwen2.5-1.5B-Instruct,1.5B,3,norm,0.7861096560955048,0.16800966858863836,30.80908062894001,6.58460735834033,0.1918323710560798,0.0013909414410590987
Qwen/Qwen2.5-1.5B-Instruct,1.5B,4,all,0.33566644772266346,0.4752630460064057,47.76935631220971,36.91731952345878,0.23694784830634788,0.4345361081081941
Qwen/Qwen2.5-1.5B-Instruct,1.5B,4,attention,0.34397743961640764,0.540611416445512,28.285241420226562,19.989080687425464,0.34403877173151287,0.5407292694379744
Qwen/Qwen2.5-1.5B-Instruct,1.5B,4,mlp,0.028309511020779565,0.0032247980763659093,105.02241016384477,11.963331546881376,0.028309415404995233,0.003224665548289008
Qwen/Qwen2.5-1.5B-Instruct,1.5B,4,norm,0.7676133811473846,0.061639100313186646,30.084177656698124,2.4157495035445464,0.17508726567029947,0.017155818641185802
Qwen/Qwen2.5-1.5B-Instruct,1.5B,5,all,0.3952789319058259,0.5965150032087986,50.33530266444495,37.681308818790775,0.2776307448123892,0.529544464700051
Qwen/Qwen2.5-1.5B-Instruct,1.5B,5,attention,0.3911594564893416,0.6642677802137227,30.261862488904406,24.02003771931933,0.3911354762635061,0.6638501373180239
Qwen/Qwen2.5-1.5B-Instruct,1.5B,5,mlp,0.028478709980845434,0.0033448279939973713,105.65010318794153,12.408617628727544,0.028478708739082,0.0033448287165808626
Qwen/Qwen2.5-1.5B-Instruct,1.5B,5,norm,0.9598974287509918,0.2644166648387909,37.62014249359201,10.36297453349689,0.254092238843441,0.03587395697832109
Qwen/Qwen2.5-1.5B-Instruct,1.5B,6,all,0.350964257804056,0.5361037181804972,48.2637226638692,37.58084953058511,0.2617939935686687,0.5089460207856371
Qwen/Qwen2.5-1.5B-Instruct,1.5B,6,attention,0.3820450838123049,0.6372975709593349,29.344817837343207,22.99897889279022,0.3816747737250158,0.6362936164611545
Qwen/Qwen2.5-1.5B-Instruct,1.5B,6,mlp,0.028469735135634704,0.001369021995181005,105.61680837496552,5.0787874575329,0.02846971526741977,0.0013689942331830173
Qwen/Qwen2.5-1.5B-Instruct,1.5B,6,norm,0.7259231507778168,0.05424371361732483,28.450260990065736,2.125910721857686,0.19219768047332758,0.01749682426452641
Qwen/Qwen2.5-1.5B-Instruct,1.5B,7,all,0.5095132286660373,0.865441175319272,49.83558711122259,35.065773091561965,0.4228649145613114,0.8593568671069062
Qwen/Qwen2.5-1.5B-Instruct,1.5B,7,attention,0.6534478084317276,1.0722464326149794,31.88313714407804,17.371589305035933,0.6501344394470964,1.0656286900862795
Qwen/Qwen2.5-1.5B-Instruct,1.5B,7,mlp,0.0285592420647541,0.0007104430123832547,105.94886050456903,2.635596121380732,0.028559211641549998,0.0007104012974861885
Qwen/Qwen2.5-1.5B-Instruct,1.5B,7,norm,0.7271731793880463,0.05545571446418762,28.49925190620882,2.1734112601398454,0.2188801318407058,0.02972412109375
