run_dir,model,perturb_seed_mode,perturb_scale_mode,skip_base_test_eval,skip_ensemble_eval,sigma,seed,train_reward,base_train_accuracy,above_base_train,above_base_train_plus_0.05,results_path
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.00025,2095133028,0.2008,0.1252,True,True,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,1678403327,0.18460000000000004,0.1252,True,True,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,1102145666,0.18460000000000001,0.1252,True,True,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.00025,1074497551,0.17400000000000002,0.1252,True,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,184566852,0.16540000000000002,0.1252,True,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.00025,1497586423,0.14740000000000003,0.1252,True,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,929893127,0.14720000000000003,0.1252,True,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,1382689813,0.1458,0.1252,True,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,432652529,0.1448,0.1252,True,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,392022358,0.14400000000000002,0.1252,True,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,942484261,0.12119999999999999,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,796282690,0.11959999999999998,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,1580016171,0.117,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
