run_dir,model,perturb_seed_mode,perturb_scale_mode,skip_base_test_eval,skip_ensemble_eval,sigma,mean_reward,count,results_path
countdown_20260313_221148,Qwen/Qwen2.5-3B-Instruct,,absolute,False,False,0.0005,0.1525,2,codex/experiments/countdown_20260313_221148/results.json
countdown_20260313_221148,Qwen/Qwen2.5-3B-Instruct,,absolute,False,False,0.001,0.13780000000000003,2,codex/experiments/countdown_20260313_221148/results.json
countdown_20260313_221857,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.0005,0.15946666666666667,6,codex/experiments/countdown_20260313_221857/results.json
countdown_20260313_221857,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.001,0.1686,4,codex/experiments/countdown_20260313_221857/results.json
countdown_20260313_221857,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.002,0.1252,6,codex/experiments/countdown_20260313_221857/results.json
countdown_20260313_222435,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,0.12243333333333332,6,codex/experiments/countdown_20260313_222435/results.json
countdown_20260313_222435,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,0.10935,4,codex/experiments/countdown_20260313_222435/results.json
countdown_20260313_222435,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,0.1307,6,codex/experiments/countdown_20260313_222435/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.00025,0.14740000000000003,5,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,0.13566666666666669,6,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,0.11569999999999998,6,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,0.127225,8,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.004,0.04776,5,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.0005,0.11468571428571432,7,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.001,0.13103333333333336,6,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.002,0.13852857142857147,7,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,0.10587500000000001,12,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.005,0.0077625,8,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,0.1514857142857143,7,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,0.1990166666666667,6,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,0.10927142857142859,7,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.003,0.08602500000000002,12,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.005,0.018362499999999997,8,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234717,Qwen/Qwen2.5-0.5B-Instruct,per_parameter,absolute,False,False,0.0005,0.025414285714285712,7,codex/experiments/countdown_20260313_234717/results.json
countdown_20260313_234717,Qwen/Qwen2.5-0.5B-Instruct,per_parameter,absolute,False,False,0.001,0.021833333333333333,6,codex/experiments/countdown_20260313_234717/results.json
countdown_20260313_234717,Qwen/Qwen2.5-0.5B-Instruct,per_parameter,absolute,False,False,0.002,0.008085714285714285,7,codex/experiments/countdown_20260313_234717/results.json
countdown_20260313_234717,Qwen/Qwen2.5-0.5B-Instruct,per_parameter,absolute,False,False,0.003,0.005808333333333332,12,codex/experiments/countdown_20260313_234717/results.json
countdown_20260313_234717,Qwen/Qwen2.5-0.5B-Instruct,per_parameter,absolute,False,False,0.005,0.0,8,codex/experiments/countdown_20260313_234717/results.json
countdown_20260313_235551,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.0005,0.026585714285714285,7,codex/experiments/countdown_20260313_235551/results.json
